insurance_initiative_0,insurance_initiative_1,insurance_initiative_2,insurance_initiative_3,insurance_initiative_4
no,no,no,no,no
no,no,no,no,no
no,no,no,no,no
no,no,no,no,no
no,no,no,no,no
unknown,unknown,unknown,unknown,unknown
yes,yes,yes,yes,yes
yes,yes,yes,yes,yes
no,no,no,no,no
yes,yes,yes,yes,yes
yes,yes,yes,yes,yes
no,no,no,no,no
no,no,no,no,no
no,no,no,no,no
yes,yes,yes,yes,yes
no,no,no,no,no
no,yes,yes,yes,yes
no,no,no,no,no
unknown,unknown,unknown,unknown,unknown
unknown,unknown,unknown,unknown,unknown
no,no,no,no,no
yes,yes,yes,yes,yes
yes,yes,yes,yes,yes
yes,yes,yes,yes,yes
yes,yes,yes,yes,yes
unknown,unknown,unknown,unknown,unknown
no,no,no,no,no
no,no,no,no,no
no,no,no,no,no
no,no,no,no,no
no,no,no,no,no
no,no,no,no,no
no,no,no,no,no
unknown,unknown,unknown,unknown,unknown
yes,yes,yes,yes,yes
no,no,no,no,no
no,no,no,no,no
unknown,unknown,unknown,unknown,unknown
no,no,no,no,no
unknown,unknown,unknown,unknown,unknown
unknown,unknown,unknown,unknown,unknown
no,no,no,no,no
unknown,unknown,unknown,unknown,unknown
yes,yes,no,no,yes
no,no,no,no,no
no,no,no,no,no
no,no,no,no,no
unknown,unknown,unknown,unknown,unknown
unknown,unknown,unknown,unknown,unknown
no,no,no,no,no
no,yes,yes,yes,yes
no,no,no,no,no
no,no,no,no,no
no,no,no,no,no
no,no,no,no,no
unknown,unknown,unknown,unknown,unknown
unknown,unknown,unknown,unknown,unknown
yes,yes,yes,yes,no
unknown,unknown,unknown,unknown,unknown
no,no,no,no,no
yes,yes,yes,yes,yes
unknown,unknown,unknown,unknown,unknown
yes,yes,no,no,yes
unknown,unknown,unknown,unknown,unknown
yes,yes,yes,yes,yes
unknown,unknown,unknown,unknown,unknown
no,no,no,no,no
unknown,unknown,unknown,unknown,unknown
unknown,unknown,unknown,unknown,unknown
no,no,no,no,no
yes,yes,yes,yes,yes
no,no,no,no,no
unknown,unknown,unknown,unknown,unknown
unknown,unknown,unknown,unknown,unknown
no,yes,yes,yes,yes
no,no,no,no,no
no,no,no,no,no
no,no,no,no,no
no,yes,yes,yes,yes
unknown,unknown,unknown,unknown,unknown
unknown,unknown,unknown,unknown,unknown
yes,yes,yes,yes,yes
no,no,no,no,no
unknown,unknown,unknown,unknown,unknown
unknown,unknown,unknown,unknown,unknown
unknown,unknown,unknown,unknown,unknown
unknown,unknown,unknown,unknown,unknown
unknown,unknown,unknown,unknown,unknown
no,no,no,no,no
yes,no,no,no,no
no,no,no,no,no
yes,yes,yes,yes,yes
yes,yes,yes,yes,no
no,no,no,no,no
yes,yes,yes,yes,yes
unknown,unknown,unknown,unknown,unknown
yes,yes,yes,yes,yes
unknown,unknown,unknown,unknown,unknown
no,no,no,no,no
no,no,no,no,no
